Modal_Price,Price_Date
750,01-03-2003
750,01-06-2003
775,01-07-2003
825,01-08-2003
760,01-10-2003
775,01-11-2003
750,1/17/2003
760,1/20/2003
780,1/22/2003
760,1/29/2003
795,1/31/2003
725,02-03-2003
750,02-04-2003
760,02-05-2003
775,02-10-2003
775,2/14/2003
750,2/17/2003
725,03-05-2003
730,03-07-2003
740,03-10-2003
740,3/19/2003
730,3/21/2003
700,3/24/2003
730,3/26/2003
750,04-04-2003
740,04-07-2003
725,04-08-2003
700,04-09-2003
750,4/21/2003
775,4/28/2003
750,05-02-2003
775,05-05-2003
770,05-07-2003
750,05-09-2003
750,05-12-2003
780,06-02-2003
760,06-10-2003
760,06-12-2003
750,6/17/2003
750,6/19/2003
750,6/21/2003
700,6/24/2003
700,6/26/2003
700,6/28/2003
650,07-01-2003
650,07-03-2003
750,07-07-2003
650,07-08-2003
750,07-09-2003
650,07-11-2003
650,8/13/2003
775,8/16/2003
750,8/18/2003
700,8/22/2003
750,8/25/2003
750,8/26/2003
2800,8/29/2003
650,8/30/2003
750,09-02-2003
750,09-03-2003
750,09-06-2003
750,09-08-2003
750,09-10-2003
775,09-11-2003
750,09-12-2003
750,9/13/2003
750,9/15/2003
700,9/16/2003
700,9/18/2003
700,9/19/2003
700,9/20/2003
700,9/21/2003
725,9/23/2003
775,9/24/2003
700,9/27/2003
700,9/29/2003
750,9/30/2003
750,08-10-2004
750,9/13/2004
750,9/23/2004
750,9/24/2004
775,10-01-2004
750,10-04-2004
800,10-05-2004
775,10-06-2004
750,10-11-2004
700,10-12-2004
800,10/28/2004
750,10/29/2004
800,10/30/2004
800,11-01-2004
800,11-02-2004
825,11-03-2004
750,11/16/2004
750,11/17/2004
925,11/23/2004
750,12-03-2004
800,12-06-2004
800,12-07-2004
800,12-08-2004
800,12-09-2004
885,12-10-2004
885,12/13/2004
905,12/14/2004
800,12/23/2004
800,1/20/2005
1200,1/22/2005
800,1/27/2005
800,02-01-2005
800,02-02-2005
800,2/23/2005
800,2/26/2005
700,2/28/2005
700,03-01-2005
700,03-02-2005
700,03-04-2005
800,03-07-2005
800,03-12-2005
700,3/14/2005
750,3/15/2005
700,3/16/2005
750,3/17/2005
750,3/18/2005
800,5/27/2005
800,5/28/2005
950,9/25/2005
800,9/26/2005
1000,9/27/2005
850,10-05-2005
800,10-06-2005
800,10/14/2005
800,10/15/2005
850,10/17/2005
850,10/18/2005
800,10/20/2005
850,10/22/2005
800,10/25/2005
990,11/29/2005
800,12-07-2005
800,12-08-2005
800,12-09-2005
800,12-10-2005
800,12/14/2005
800,12/15/2005
800,12/16/2005
800,12/17/2005
850,12/18/2005
800,12/19/2005
800,12/20/2005
800,12/21/2005
800,12/22/2005
800,12/23/2005
800,12/24/2005
900,12/26/2005
800,12/28/2005
800,12/29/2005
900,01-01-2006
800,1/17/2006
1000,1/18/2006
900,1/19/2006
900,1/20/2006
900,1/21/2006
825,1/22/2006
1000,1/23/2006
900,1/24/2006
900,1/25/2006
900,1/27/2006
900,1/28/2006
738,1/29/2006
900,1/30/2006
900,1/31/2006
900,02-01-2006
900,02-02-2006
800,02-03-2006
900,02-04-2006
800,02-06-2006
800,02-07-2006
850,02-09-2006
800,02-10-2006
800,02-11-2006
800,2/13/2006
800,2/14/2006
800,2/15/2006
800,2/16/2006
875,2/17/2006
800,2/18/2006
787,2/20/2006
787,2/21/2006
800,2/22/2006
807,2/23/2006
845,2/24/2006
846,2/25/2006
863,2/27/2006
810,2/28/2006
792,03-01-2006
840,03-02-2006
837,03-03-2006
840,03-04-2006
825,03-05-2006
855,03-06-2006
800,03-07-2006
861,03-08-2006
800,03-09-2006
800,03-10-2006
800,03-11-2006
800,03-12-2006
846,3/13/2006
839,3/14/2006
808,3/16/2006
847,3/17/2006
739,3/18/2006
725,3/19/2006
752,3/20/2006
800,3/21/2006
754,3/22/2006
753,3/23/2006
800,3/24/2006
768,3/25/2006
715,3/26/2006
776,3/27/2006
900,3/28/2006
705,3/29/2006
765,3/31/2006
875,04-01-2006
700,04-02-2006
772,04-03-2006
785,04-04-2006
800,04-05-2006
788,04-06-2006
800,04-07-2006
840,04-08-2006
800,04-09-2006
863,04-10-2006
875,04-12-2006
864,4/15/2006
795,4/16/2006
900,4/17/2006
869,4/18/2006
1000,4/22/2006
880,4/23/2006
1100,4/24/2006
1100,4/26/2006
900,4/28/2006
1100,4/29/2006
880,4/30/2006
900,05-04-2006
950,05-07-2006
900,05-09-2006
915,05-10-2006
967,05-11-2006
1000,05-12-2006
980,5/14/2006
943,5/15/2006
900,5/16/2006
900,5/17/2006
912,5/21/2006
900,5/22/2006
1000,5/24/2006
900,5/25/2006
912,5/28/2006
900,5/29/2006
900,5/30/2006
1000,5/31/2006
1000,06-01-2006
1000,06-02-2006
900,06-03-2006
935,06-04-2006
900,06-05-2006
900,06-06-2006
896,06-07-2006
898,06-08-2006
1000,06-12-2006
900,6/13/2006
1000,6/14/2006
900,6/15/2006
1000,6/16/2006
900,6/17/2006
1000,6/19/2006
925,6/21/2006
1000,6/22/2006
1000,6/23/2006
875,6/25/2006
1000,07-12-2006
1000,7/13/2006
1000,7/14/2006
