Place_Name,Latitude,Longitude,parking,train_station,taxi_stand,gas_station,movie_theater,airport,shopping_mall
Najafgarh Road,28.6295195,77.07761459999999,6,1,1,9,3,1,20
Dinanath Road,28.6690012,77.2006351,4,2,1,4,2,0,6
Sikandra Road,28.6256612,77.2341685,6,3,0,1,1,0,8
Sardar Inderjit Singh Bhatia Road,28.5787139,77.2441362,4,2,1,7,2,1,8
Ram Kumar Gautam Marg,28.620152,77.3051801,3,1,0,7,1,0,10
Railway Road,28.8480221,77.0868258,2,1,0,2,1,0,10
Alaknanda - DDA Flats Road,28.5325165,77.25343599999999,4,0,5,3,2,0,11
Panchkuian Marg,28.6387358,77.2092256,7,0,1,9,1,0,12
Major Somnath Marg,28.572308,77.1737376,2,0,3,10,1,0,19
"108-6, Sri Aurobindo Marg",28.5571452,77.2065211,16,0,8,9,1,0,19
Dabri - Gurgaon Road,28.5806463,77.0606275,6,0,1,18,0,0,9
Squadron Leader Mohinder Kumar Jain Marg,28.55975429999999,77.21299399999999,15,0,4,10,1,1,18
Arya Nagar Road,28.64716319999999,77.21321999999999,10,0,4,5,1,0,20
Street Number 2,28.64495819999999,77.29335379999999,2,1,1,5,0,0,7
Post Office Road,28.5436334,77.257555,10,1,3,7,4,0,4
Outer Ring Road,28.73742679999999,77.16096829999999,1,0,3,8,0,1,15
Mahatma Gandhi Marg,28.6990595,77.20423169999999,4,0,0,3,1,0,3
F Block Road,28.6446499,77.1234609,1,0,0,6,6,1,20
Gamal Abdel Nasser Marg,28.5437444,77.2055524,12,1,2,2,2,0,1
Mahatma Gandhi Marg,28.5695432,77.18995090000001,4,0,0,8,1,0,18
Mathura Road,28.4975621,77.30214459999999,2,1,0,17,1,0,17
Rafi Ahmed Kidwai Marg,28.6110108,77.21202079999999,5,1,0,1,1,0,15
Mahatma Gandhi Marg,28.6546818,77.12512479999999,2,2,0,9,5,1,2
Najafgarh Road,28.6251061,77.0658011,3,0,0,5,2,0,15
"356, Outer Ring Rd",28.6969798,77.11523629999999,5,0,1,11,1,0,3
Main Najafgarh Road,28.629271,76.99792599999999,0,0,0,2,0,0,10
Terminal 2B Road,28.55726289999999,77.0869608,9,0,0,0,0,2,0
Bhagawan Mahavir Marg,28.750162,77.05729959999999,0,0,0,0,0,2,1
Sri Aurobindo Marg,28.583634,77.21244159999999,1,1,1,3,1,1,5
Dada Satram Mamtani Marg,28.6201493,77.09461,2,0,2,5,2,0,7
Sector B Road,28.52533679999999,77.1558721,3,0,2,1,1,1,16
Guru Virjanand Marg,28.6386094,77.0756993,4,0,2,5,8,1,18
Old Rohtak Road,28.66932030000001,77.1690208,1,1,0,10,0,1,20
Mujahidpur Road,28.5606356,77.21869640000001,9,0,1,7,1,1,20
Terminal 1D Departure Road,28.5655512,77.12244029999999,5,0,1,0,0,2,3
Gali Number 700,28.730155,77.1633861,2,0,2,15,0,1,9
Jai Hind Street,28.7649905,77.05047620000001,0,0,0,0,0,1,5
Emporio Way,28.5431834,77.15719519999999,1,0,0,8,3,0,10
Patparganj Road,28.6396267,77.2837042,4,0,1,7,3,0,20
Market Road,28.5695746,77.2423565,7,0,1,3,2,0,20
Lane East,28.576518,77.19629979999999,5,1,0,10,2,0,10
Puran Chand Yogi Marg,28.6282111,77.1449956,4,1,0,0,1,0,15
Narela Road,28.8012214,77.14362799999999,1,0,0,6,0,0,3
Mahatma Gandhi Marg,28.6525647,77.124059,2,2,0,8,6,1,17
Rammurti Passi Marg,28.7261522,77.11344129999999,3,0,1,11,1,0,19
Najafgarh Road,28.6212016,77.0522103,0,0,0,1,1,0,20
"108-1104, Najafgarh Rd",28.6304974,77.08008439999999,6,1,3,6,3,1,20
Doctor NS Hardikar Road,28.6987194,77.1046152,2,0,1,10,2,0,17
Guru Virjanand Marg,28.6385758,77.07298589999999,4,0,3,4,8,1,14
"1-313, Shaheed Bhagat Singh Marg Flyover",28.6151608,77.1071706,2,1,0,12,0,0,9
Rama Park Road,28.6281961,77.036762,1,0,0,0,0,0,5
Golf Course Road,28.603472,77.0238159,1,1,1,6,1,0,20
Vikas Marg,28.643507,77.2980135,2,2,2,5,0,0,11
Chaudhary Harsukh Marg,28.5600983,77.19031869999999,6,0,2,2,1,0,18
Road Number 43,28.6705459,77.1342707,3,0,0,11,2,0,20
Middle Circle,28.6307106,77.2201989,5,1,4,11,6,0,20
Paprawat Road,28.6052452,76.9836344,0,0,1,5,1,1,5
Guru Virjanand Marg,28.62821689999999,77.0693898,5,1,0,8,3,0,3
